qid,depicted object
Q106582649,rosewood stand
Q106582650,
Q106582651,
Q106582652,
Q106582653,old men
Q106582654,landscape|figures
Q106582656,chrysanthemum
Q106582657,fence|flowers|butterflies
Q106582659,taoist immortals|pavilion|deer|crane|conch shell
Q106582660,mythical beast
Q106582661,hotei
Q106582662,
Q106582664,cranes
Q106582665,
Q106582666,
Q106582668,
Q106582669,partridge feather
Q106582670,
Q106582671,
Q106582673,
Q106582674,
Q106582675,figures|scroll|garden|morning glories|flowers|lotus
Q106582676,
Q106582678,
Q106582679,
Q106582680,
Q106582681,
Q106582682,
Q106582683,
Q106582684,lotus
Q106582685,maenad
Q106582686,
Q106582688,fish
Q106582689,plant
Q106582690,pheasant
Q106582691,pheasant
Q106582692,dragon
Q106582693,
Q106582695,
Q106582696,
Q106582697,leaf
Q106582698,
Q106582700,blue decoration
Q106582702,blue decoration
Q106582703,
Q106582705,chrysanthemum
Q106582706,flowers|leaves
Q106582707,
Q106582708,bridge|weeping willow|bats
Q106582710,bamboo grass|chrysanthemums|cherry blossoms
Q106582711,chrysanthemums|stream
Q106582712,flowers
Q106582714,scattered flowers
Q106582715,green glass bead
Q106582716,
Q106582717,crystal tips
Q106582719,multi-color pattern
Q106582720,gold leaf
Q106582722,
Q106582723,bear
Q106582725,blowfish|giant radish
Q106582726,boy|broom|tub|tortoise
Q106582727,bundle of flowers
Q106582729,ceremonial whisk
Q106582730,chinese lion-dog
Q106582731,chrysanthemum|water
Q106582732,figure|fan|chrysanthemums
Q106582734,fisherman|boat|dip net
Q106582735,flat ceremonial fan
Q106582736,bat|crescent moon
Q106582737,man|sake cup
Q106582738,man|rake
Q106582739,flying cranes
Q106582740,puppy|hoe
Q106582741,rabbit|warrior
Q106582742,rat|branch of fruit
Q106582743,demon
Q106582744,seated man|drinking gourd
Q106582746,tengu|egg
Q106582747,treasure ship
Q106582748,treasure ship
Q106582749,tripod|sacred fungus
Q106582750,insect
Q106582751,ebisu
Q106582752,emperor|empress dolls
Q106582753,five diamond shapes
Q106582754,fukurokuju|fan|scroll
Q106582755,pomegranates
Q106582756,shoki
Q106582757,seated demons
Q106582758,stags|doe
Q106582759,swallows
Q106582761,tops
Q106582783,dead sea scrolls
Q106582784,chair
Q106582785,
Q106582786,masu|fish
Q106582788,hawk|orange glass eyes|yellow inlay
Q106582789,hawk|orange glass eyes|yellow inlay
Q106582790,
Q106582791,
Q106582792,
Q106582793,
Q106582794,
Q106582795,eagle
Q106582798,
Q106582799,
Q106582800,dao designs
Q106582801,warrior|helmet
Q106582802,
Q106582804,crane
Q106582805,flower|bird
Q106582806,
Q106582807,
Q106582808,
Q106582809,
Q106582811,
Q106582812,praying mantis
Q
